Max,Min,Median,Has_NaN,NaN %
6.0703125,-5.79296875,0.151733398,FALSE,0
5.7734375,-4.953125,0.01550293,FALSE,0
6.07421875,-5.7265625,0.151123047,FALSE,0
5.9765625,-5.6015625,0.151123047,FALSE,0
6.1640625,-5.80078125,0.000456333,FALSE,0
35.71875,-20.3125,-0.034423828,FALSE,0
38.96875,-37.25,-0.007537842,FALSE,0
30.859375,-39.09375,-0.024108887,FALSE,0
9.890625,-15.5703125,0.009872437,TRUE,0.000274612
81,2,34,FALSE,0
12,1,5,FALSE,0
534,11,150,FALSE,0
48.71875,-1.731445313,-0.228149414,FALSE,0
209,-0.901367188,-0.260742188,FALSE,0
62.53125,-1.399414063,-0.253173828,FALSE,0
111.0625,-1.630859375,-0.308105469,TRUE,0.026362523
114.875,-1.607421875,-0.281738281,TRUE,1.43E-05
91.25,-1.60546875,-0.307373047,TRUE,0.004409208
5.82421875,-4.26171875,0.019393921,TRUE,1.28E-05
5.703125,-4.28125,-0.00907135,TRUE,1.28E-05
4.2109375,-4.3515625,-0.116271973,FALSE,0
161.5,-0.55859375,-0.168701172,TRUE,0.073799538
3.7421875,-2.603515625,-0.28125,FALSE,0
3.244140625,-2.48828125,-0.372070313,FALSE,0
8.375,-2.376953125,-0.035766602,FALSE,0
3.69921875,-2.177734375,-0.142944336,FALSE,0
4.6328125,-3.451171875,0.036437988,TRUE,0.073799538
2.45703125,-3.3203125,-0.249755859,TRUE,0.073799538
2.880859375,-3.376953125,-0.14074707,FALSE,0
7.53515625,-1.169921875,-0.326660156,FALSE,0
7.64453125,-1.319335938,-0.349121094,FALSE,0
128,-0.503417969,-0.168457031,TRUE,0.073799538
4.1796875,-5.83984375,-0.058746338,TRUE,0.010397299
4.28515625,-5.44921875,0.000275612,TRUE,0.010397299
4.30078125,-5.30078125,-0.061737061,FALSE,0
4.2265625,-4.890625,-0.063232422,FALSE,0
4.3828125,-4.16015625,-0.002094269,FALSE,0
21.140625,-14.9296875,-0.006355286,TRUE,9.15E-05
20.453125,-16.078125,0.017196655,FALSE,0
4.17578125,-4.0390625,0.014549255,TRUE,0.106660453
4.421875,-4.2578125,-0.023529053,TRUE,0.000830412
4.125,-4.0703125,-0.003147125,TRUE,0.025287041
3.90234375,-4.28515625,-0.057769775,TRUE,0.106660453
4.03125,-4.046875,-0.008872986,TRUE,0.000830412
4.03125,-4.3515625,-0.03012085,TRUE,0.025287041
4.16015625,-4.140625,0.027572632,TRUE,0.003117874
4.078125,-4.4375,-0.093078613,TRUE,0.003117874
43.34375,-20.125,0.002996445,FALSE,0
80.8125,-105.8125,-0.003513336,FALSE,0
41.0625,-64.6875,-0.00711441,FALSE,0
4.1796875,-4.2578125,0.018890381,TRUE,0.106429292
4.75390625,-5.31640625,-0.017684937,TRUE,0.000529601
4.28515625,-5.35546875,0.025741577,TRUE,0.025059222
5.70703125,-4.3203125,-0.034484863,TRUE,0.106429292
4.65234375,-5.29296875,0.027572632,TRUE,0.000529601
4.94921875,-4.31640625,-0.021011353,TRUE,0.025059222
5.6953125,-5.52734375,0.0234375,TRUE,1.28E-05
5.515625,-4.1953125,-0.071289063,TRUE,1.28E-05
42.3125,-30.875,-0.003227234,TRUE,0.010397299
256.75,-130.125,-0.004257202,FALSE,0
69.8125,-55.71875,-0.005535126,FALSE,0
2.658203125,-2.763671875,0.010818481,FALSE,0
28.515625,-0.895996094,-0.207397461,TRUE,0.003060515
114.625,-0.831054688,-0.216674805,TRUE,0.001405189
70.3125,-0.85546875,-0.200805664,TRUE,0.001666324
5.44140625,-5.21875,-0.031677246,TRUE,0.003117874
5.19140625,-5.25,-0.04876709,TRUE,0.003117874
53.71875,-1.685546875,-0.232910156,FALSE,0
336,-0.740234375,-0.238525391,FALSE,0
75,-1.266601563,-0.251464844,FALSE,0
54.84375,-1.879882813,-0.229614258,FALSE,0
126.875,-0.826171875,-0.255371094,FALSE,0
60.8125,-1.379882813,-0.259521484,FALSE,0
201,-5.1796875,-0.254394531,TRUE,0.010535413
228.625,-5.30859375,-0.239746094,TRUE,0.010535413
213.375,-5.64453125,-0.239746094,TRUE,0.001055752
261,-5.0390625,-0.229003906,TRUE,0.001055752
206.625,-5.1796875,-0.229614258,TRUE,0.000668362
257.5,-6.16015625,-0.216552734,TRUE,0.000668362
5,-5,-0.016372681,FALSE,0
