,Max,Min,Median,Has_NaN,Nan Num,NaN %
feature_00,6.781538963317871,-4.126258373260498,0.0016356686828657985,False,0,0.0
feature_01,5.755299091339111,-4.542800426483154,0.002462163334712386,False,0,0.0
feature_02,6.809322834014893,-3.864501476287842,-0.00011950602493016049,False,0,0.0
feature_03,6.684108257293701,-3.8744165897369385,0.0005222430918365717,False,0,0.0
feature_04,4.101095676422119,-4.088372230529785,-0.0011726997327059507,False,0,0.0
feature_05,14.149641990661621,-10.846614837646484,-0.016727503389120102,False,0,0.0
feature_06,25.221038818359375,-19.49073600769043,-0.01123755518347025,False,0,0.0
feature_07,19.45270538330078,-16.316883087158203,-0.025509625673294067,False,0,0.0
feature_08,8.938966751098633,-7.519187927246094,-0.03404825180768967,False,0,0.0
feature_09,1.9105790853500366,-1.3588298559188843,-0.03451232612133026,False,0,0.0
feature_10,2.2586827278137207,-1.3151423931121826,-0.015569576062262058,False,0,0.0
feature_11,2.1840932369232178,-1.0624979734420776,-0.1996372640132904,False,0,0.0
feature_12,49.76312255859375,-2.0389702320098877,-0.20929962396621704,False,0,0.0
feature_13,210.1398162841797,-0.8896681070327759,-0.24959643185138702,False,0,0.0
feature_14,70.42369842529297,-1.5759387016296387,-0.24089621007442474,False,0,0.0
feature_16,92.94966125488281,-1.3598288297653198,-0.28807616233825684,False,0,0.0
feature_17,72.7917251586914,-1.3587406873703003,-0.3229159414768219,False,0,0.0
feature_18,5.412123680114746,-3.7652573585510254,-0.02053331583738327,False,0,0.0
feature_19,5.454929828643799,-4.026376724243164,-0.005594747141003609,False,0,0.0
feature_20,3.9713351726531982,-3.7734270095825195,-0.061254389584064484,False,0,0.0
feature_22,3.872403860092163,-2.2198984622955322,-0.24684572219848633,False,0,0.0
feature_23,2.563326358795166,-1.9594148397445679,-0.30221062898635864,False,0,0.0
feature_24,3.7623958587646484,-3.3838489055633545,-0.04696492478251457,False,0,0.0
feature_25,2.9753780364990234,-1.8996235132217407,-0.23585033416748047,False,0,0.0
feature_28,2.8952486515045166,-2.5703012943267822,-0.25102657079696655,False,0,0.0
feature_29,5.901170253753662,-1.042443037033081,-0.3314495384693146,False,0,0.0
feature_30,6.02861213684082,-1.031793236732483,-0.35428744554519653,False,0,0.0
feature_32,3.3532752990722656,-4.139506816864014,0.0815499871969223,False,0,0.0
feature_33,3.964815855026245,-3.986555576324463,0.003699153894558549,False,0,0.0
feature_34,3.394784450531006,-4.073077201843262,0.07732381671667099,False,0,0.0
feature_35,3.33929181098938,-4.126043796539307,0.0779862254858017,False,0,0.0
feature_36,3.9814555644989014,-3.9933159351348877,0.0016650420147925615,False,0,0.0
feature_37,14.4126558303833,-10.742191314697266,-0.012993252836167812,False,0,0.0
feature_38,13.688573837280273,-12.082086563110352,-0.0016552170272916555,False,0,0.0
feature_40,4.514821529388428,-4.098113059997559,-0.01228194311261177,False,0,0.0
feature_43,4.095078468322754,-4.091816425323486,0.01571503095328808,False,0,0.0
feature_45,3.9740242958068848,-3.8726909160614014,0.008772662840783596,False,0,0.0
feature_46,4.148077487945557,-4.310303211212158,-0.018972104415297508,False,0,0.0
feature_47,17.740158081054688,-22.530672073364258,0.004322766326367855,False,0,0.0
feature_48,94.850341796875,-50.21204376220703,-0.003707585856318474,False,0,0.0
feature_49,28.09947395324707,-36.04268264770508,-0.007730881683528423,False,0,0.0
feature_51,4.275053024291992,-3.7412900924682617,-0.014408482238650322,False,0,0.0
feature_54,4.245240211486816,-3.777010440826416,0.009251936338841915,False,0,0.0
feature_56,3.915928363800049,-3.8938543796539307,0.020791085436940193,False,0,0.0
feature_57,5.377328395843506,-3.7848026752471924,-0.027292290702462196,False,0,0.0
feature_58,41.41763687133789,-29.258344650268555,0.004486897028982639,False,0,0.0
feature_59,247.06642150878906,-125.21605682373047,-0.0036859295796602964,False,0,0.0
feature_60,67.70478057861328,-49.000858306884766,-0.004463091026991606,False,0,0.0
feature_61,2.5602989196777344,-2.633511781692505,0.025738555938005447,False,0,0.0
feature_62,57.65099334716797,-1.5582982301712036,-0.2585219740867615,False,0,0.0
feature_63,191.23092651367188,-1.311983346939087,-0.2558448910713196,False,0,0.0
feature_64,128.8813018798828,-1.492300033569336,-0.25387120246887207,False,0,0.0
feature_65,5.04590368270874,-4.848561763763428,-0.03302881121635437,False,0,0.0
feature_66,4.790174961090088,-4.884225368499756,-0.013579722493886948,False,0,0.0
feature_67,43.64149475097656,-1.9541083574295044,-0.22013570368289948,False,0,0.0
feature_68,317.7314147949219,-0.7063517570495605,-0.2240620255470276,False,0,0.0
feature_69,81.11371612548828,-1.3807153701782227,-0.2410917580127716,False,0,0.0
feature_70,64.89031219482422,-2.1734206676483154,-0.20255380868911743,False,0,0.0
feature_71,121.5782470703125,-0.8433954119682312,-0.2497202455997467,False,0,0.0
feature_72,68.12872314453125,-1.5095443725585938,-0.24166636168956757,False,0,0.0
feature_75,91.74268341064453,-3.789152145385742,-0.23935487866401672,False,0,0.0
feature_76,84.43962860107422,-4.19351053237915,-0.22980375587940216,False,0,0.0
feature_77,129.4464111328125,-3.819416046142578,-0.24314258992671967,False,0,0.0
feature_78,94.1843490600586,-3.786822557449341,-0.2296953797340393,False,0,0.0
responder_6,5.0,-5.0,-0.012420654296875,False,0,0.0
